GeoName,State,Description,Unit, Year 
Clarke,GA,Per capita personal income (dollars),Dollars,"32,419"
Franklin,AL,Per capita personal income (dollars),Dollars,"32,422"
Adams,MS,Per capita personal income (dollars),Dollars,"32,428"
Amite,MS,Per capita personal income (dollars),Dollars,"32,432"
Whitley,KY,Per capita personal income (dollars),Dollars,"32,449"
Miller,AR,Per capita personal income (dollars),Dollars,"32,452"
Newton,GA,Per capita personal income (dollars),Dollars,"32,456"
Scotland,MO,Per capita personal income (dollars),Dollars,"32,456"
Glacier,MT,Per capita personal income (dollars),Dollars,"32,465"
Crawford,MI,Per capita personal income (dollars),Dollars,"32,483"
Greene,NC,Per capita personal income (dollars),Dollars,"32,493"
Dunklin,MO,Per capita personal income (dollars),Dollars,"32,503"
Knox,MO,Per capita personal income (dollars),Dollars,"32,511"
Crawford,IN,Per capita personal income (dollars),Dollars,"32,517"
Union,NM,Per capita personal income (dollars),Dollars,"32,519"
Mecosta,MI,Per capita personal income (dollars),Dollars,"32,527"
Chester,TN,Per capita personal income (dollars),Dollars,"32,532"
Worth,GA,Per capita personal income (dollars),Dollars,"32,540"
Anderson,TX,Per capita personal income (dollars),Dollars,"32,547"
Grayson,KY,Per capita personal income (dollars),Dollars,"32,558"
Campbell,TN,Per capita personal income (dollars),Dollars,"32,569"
Chippewa,MI,Per capita personal income (dollars),Dollars,"32,579"
Chambers,AL,Per capita personal income (dollars),Dollars,"32,583"
Fulton,KY,Per capita personal income (dollars),Dollars,"32,588"
Lawrence,AL,Per capita personal income (dollars),Dollars,"32,596"
Attala,MS,Per capita personal income (dollars),Dollars,"32,603"
Clay,NC,Per capita personal income (dollars),Dollars,"32,611"
Tippah,MS,Per capita personal income (dollars),Dollars,"32,614"
Caldwell,LA,Per capita personal income (dollars),Dollars,"32,616"
Powder River,MT,Per capita personal income (dollars),Dollars,"32,616"
Evangeline,LA,Per capita personal income (dollars),Dollars,"32,634"
Polk,MO,Per capita personal income (dollars),Dollars,"32,640"
Polk,TN,Per capita personal income (dollars),Dollars,"32,647"
