GeoName,Description,Unit, Year 
"Weld, CO*",Per capita personal income (dollars),Dollars," 44,173 "
"Yuma, CO",Per capita personal income (dollars),Dollars," 50,062 "
Connecticut,Per capita personal income (dollars),Dollars," 72,213 "
"Fairfield, CT",Per capita personal income (dollars),Dollars," 112,769 "
"Hartford, CT",Per capita personal income (dollars),Dollars," 61,938 "
"Litchfield, CT",Per capita personal income (dollars),Dollars," 61,387 "
"Middlesex, CT",Per capita personal income (dollars),Dollars," 65,598 "
"New Haven, CT",Per capita personal income (dollars),Dollars," 53,605 "
"New London, CT",Per capita personal income (dollars),Dollars," 56,545 "
"Tolland, CT",Per capita personal income (dollars),Dollars," 54,193 "
"Windham, CT",Per capita personal income (dollars),Dollars," 45,004 "
Delaware,Per capita personal income (dollars),Dollars," 50,350 "
"Kent, DE",Per capita personal income (dollars),Dollars," 40,438 "
"New Castle, DE",Per capita personal income (dollars),Dollars," 54,198 "
"Sussex, DE",Per capita personal income (dollars),Dollars," 48,601 "
District of Columbia,Per capita personal income (dollars),Dollars," 78,969 "
"District of Columbia, DC",Per capita personal income (dollars),Dollars," 78,969 "
Florida,Per capita personal income (dollars),Dollars," 47,869 "
"Alachua, FL",Per capita personal income (dollars),Dollars," 42,455 "
"Baker, FL",Per capita personal income (dollars),Dollars," 31,076 "
"Bay, FL",Per capita personal income (dollars),Dollars," 41,499 "
"Bradford, FL",Per capita personal income (dollars),Dollars," 32,876 "
"Brevard, FL",Per capita personal income (dollars),Dollars," 43,371 "
"Broward, FL",Per capita personal income (dollars),Dollars," 47,977 "
"Calhoun, FL",Per capita personal income (dollars),Dollars," 25,901 "
"Charlotte, FL",Per capita personal income (dollars),Dollars," 39,868 "
"Citrus, FL",Per capita personal income (dollars),Dollars," 36,614 "
"Clay, FL",Per capita personal income (dollars),Dollars," 41,374 "
"Collier, FL",Per capita personal income (dollars),Dollars," 87,092 "
"Columbia, FL",Per capita personal income (dollars),Dollars," 33,658 "
"DeSoto, FL",Per capita personal income (dollars),Dollars," 23,869 "
"Dixie, FL",Per capita personal income (dollars),Dollars," 26,862 "
"Duval, FL",Per capita personal income (dollars),Dollars," 44,458 "
"Escambia, FL",Per capita personal income (dollars),Dollars," 40,825 "
"Flagler, FL",Per capita personal income (dollars),Dollars," 44,092 "
"Franklin, FL",Per capita personal income (dollars),Dollars," 33,999 "
"Gadsden, FL",Per capita personal income (dollars),Dollars," 33,483 "
"Gilchrist, FL",Per capita personal income (dollars),Dollars," 33,217 "
"Glades, FL",Per capita personal income (dollars),Dollars," 23,510 "
"Gulf, FL",Per capita personal income (dollars),Dollars," 33,871 "
"Hamilton, FL",Per capita personal income (dollars),Dollars," 25,063 "
"Hardee, FL",Per capita personal income (dollars),Dollars," 28,844 "
"Hendry, FL",Per capita personal income (dollars),Dollars," 30,693 "
"Hernando, FL",Per capita personal income (dollars),Dollars," 35,601 "
"Highlands, FL",Per capita personal income (dollars),Dollars," 32,922 "
"Hillsborough, FL",Per capita personal income (dollars),Dollars," 45,129 "
"Holmes, FL",Per capita personal income (dollars),Dollars," 29,598 "
"Indian River, FL",Per capita personal income (dollars),Dollars," 72,149 "
"Jackson, FL",Per capita personal income (dollars),Dollars," 30,763 "
"Jefferson, FL",Per capita personal income (dollars),Dollars," 39,715 "
"Lafayette, FL",Per capita personal income (dollars),Dollars," 24,232 "
"Lake, FL",Per capita personal income (dollars),Dollars," 40,613 "
"Lee, FL",Per capita personal income (dollars),Dollars," 48,872 "
"Leon, FL",Per capita personal income (dollars),Dollars," 42,380 "
"Levy, FL",Per capita personal income (dollars),Dollars," 34,477 "
"Liberty, FL",Per capita personal income (dollars),Dollars," 23,087 "
"Madison, FL",Per capita personal income (dollars),Dollars," 30,499 "
"Manatee, FL",Per capita personal income (dollars),Dollars," 45,404 "
"Marion, FL",Per capita personal income (dollars),Dollars," 35,719 "
"Martin, FL",Per capita personal income (dollars),Dollars," 79,020 "
"Miami-Dade, FL",Per capita personal income (dollars),Dollars," 47,813 "
"Monroe, FL",Per capita personal income (dollars),Dollars," 84,679 "
"Nassau, FL",Per capita personal income (dollars),Dollars," 55,738 "
"Okaloosa, FL",Per capita personal income (dollars),Dollars," 47,111 "
"Okeechobee, FL",Per capita personal income (dollars),Dollars," 30,568 "
"Orange, FL",Per capita personal income (dollars),Dollars," 42,776 "
"Osceola, FL",Per capita personal income (dollars),Dollars," 32,315 "
"Palm Beach, FL",Per capita personal income (dollars),Dollars," 75,183 "
"Pasco, FL",Per capita personal income (dollars),Dollars," 38,917 "
"Pinellas, FL",Per capita personal income (dollars),Dollars," 50,917 "
"Polk, FL",Per capita personal income (dollars),Dollars," 34,591 "
"Putnam, FL",Per capita personal income (dollars),Dollars," 30,823 "
"St. Johns, FL",Per capita personal income (dollars),Dollars," 65,660 "
